sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,label
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,0
0.4526169,0.6802898,0.4727092,0.399912,0.4449818,0.4959661,0
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,0
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.3602797,0
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.3760602,0
0.5619282,0.6956109,0.5795453,0.4738442,0.4449818,0.3602797,0
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.3602797,0
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,0
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.3760602,0
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.3760602,0
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.6822461,0.5795453,0.4738442,0.4449818,0.374887,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.5619282,0.7334247,0.5795453,0.4738442,0.4449818,0.4959661,1
0.4615929,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.4487752,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.4487752,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.4487752,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.4487752,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.5087723,0.6802898,0.5795453,0.4738442,0.4449818,0.4530286,2
0.5168023,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.4487752,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.4527383,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,2
0.4487752,0.6802898,0.5795453,0.4738442,0.4449818,0.4648846,2
0.5619282,0.6802898,0.4727092,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6802898,0.4727092,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6805463,0.473579,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6802898,0.4727092,0.4738442,0.4449818,0.4348828,3
0.5619282,0.6802898,0.4727092,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6802898,0.4727092,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6802898,0.4727092,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6802898,0.5202428,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6802898,0.473579,0.4738442,0.4449818,0.3602797,3
0.5619282,0.6802898,0.4727092,0.4738442,0.4449818,0.387671,3
0.4487752,0.6802898,0.5479736,0.4738442,0.4449818,0.4959661,4
0.4615051,0.6802898,0.5479736,0.4738442,0.4449818,0.4641358,4
0.5228505,0.6802898,0.4829009,0.4738442,0.4449818,0.4641358,4
0.5619282,0.6802898,0.4829009,0.4738442,0.4449818,0.4641358,4
0.5619282,0.6802898,0.5196786,0.4738442,0.4449818,0.4641358,4
0.5619282,0.6802898,0.5479736,0.4738442,0.4449818,0.4959661,4
0.5619282,0.6802898,0.5456776,0.4738442,0.4449818,0.4641358,4
0.5619282,0.6802898,0.5479736,0.3446729,0.4449818,0.4959661,4
0.5619282,0.6802898,0.4881462,0.4738442,0.4449818,0.4641358,4
0.5619282,0.6802898,0.5479736,0.4738442,0.4449818,0.4959661,4
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
0.5619282,0.6802898,0.5795453,0.4738442,0.4449818,0.4959661,5
