sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,label
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.4179429,0.4539965,0.479829,0.571727,0
0.5095482,0.6072472,0.6504087,0.5873959,0.3488336,0.5390039,0.4539965,0.5254324,0.571727,0
0.5095482,0.6793182,0.650506,0.5873959,0.487743,0.4538928,0.4539965,0.3997435,0.571727,0
0.5095482,0.6793182,0.6776601,0.5873959,0.487743,0.5390039,0.4539965,0.5254324,0.571727,0
0.5095482,0.6793182,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.3997435,0.571727,0
0.5095482,0.6656726,0.7113707,0.5873959,0.487743,0.4880105,0.4539965,0.4007549,0.571727,0
0.5095482,0.6793182,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.4372308,0.571727,0
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.4179429,0.4539965,0.3997435,0.571727,0
0.5095482,0.6486219,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.3997508,0.571727,0
0.5095482,0.6793182,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.3997435,0.571727,0
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4539965,0.5254324,0.571727,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4539965,0.5254324,0.5777381,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4562747,0.5254324,0.6530435,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4539965,0.5226253,0.571727,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5284768,0.4539965,0.3997435,0.571727,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4539965,0.5254324,0.5732688,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4918346,0.5254324,0.6530435,1
0.5095482,0.6793182,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.3997435,0.5945212,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4539965,0.5254324,0.5777381,1
0.5095482,0.6793182,0.7113707,0.5873959,0.487743,0.5390039,0.4941919,0.5254324,0.6530435,1
0.5092951,0.6072472,0.6511618,0.5873959,0.4152146,0.4179429,0.4539965,0.3997435,0.571727,2
0.4929087,0.6072472,0.6504087,0.5873959,0.487743,0.4183332,0.4539965,0.3997435,0.571727,2
0.4013024,0.6072472,0.6504087,0.5873959,0.487743,0.4685353,0.4539965,0.3997435,0.571727,2
0.4178691,0.6072472,0.6504087,0.5873959,0.487743,0.4180591,0.4539965,0.3997435,0.571727,2
0.4218546,0.6072472,0.6504087,0.5873959,0.487743,0.4183332,0.4539965,0.3997435,0.571727,2
0.5095482,0.6072472,0.6504087,0.5873959,0.487743,0.4179429,0.4539965,0.4194346,0.571727,2
0.5095482,0.6072472,0.6511618,0.5873959,0.4171934,0.4179429,0.4539965,0.4007463,0.571727,2
