sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,label
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,0
0.6232246,0.632273,0.5886704,0.4824676,0.3963394,0.472668,0.5847494,0.5232739,0
0.6232246,0.632273,0.6617948,0.4824676,0.3944193,0.5794994,0.5847494,0.5258397,0
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.4810148,0.5847494,0.400185,0
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.5186044,0.5847494,0.5258397,0
0.6232246,0.632273,0.5879546,0.4824676,0.4669198,0.5794994,0.4796867,0.400185,0
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5229994,0.5847494,0.400185,0
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.4810148,0.5847494,0.5258397,0
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.5708125,0.5847494,0.5258397,0
0.6232246,0.632273,0.5835793,0.4824676,0.5216185,0.4810148,0.5847494,0.4268431,0
0.6912225,0.632273,0.6617948,0.4824676,0.3944193,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.4835814,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.586807,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6742656,0.6617948,0.4824676,0.5016851,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.4835814,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6400866,0.6617948,0.586807,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.4824676,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.5832044,0.5216185,0.5794994,0.5847494,0.5258397,1
0.6912225,0.6978874,0.6617948,0.4824676,0.5216185,0.5794994,0.5847494,0.400185,2
0.6232246,0.632273,0.6617948,0.4824676,0.4526594,0.5794994,0.4796867,0.4437729,2
0.6232246,0.6325534,0.6617948,0.4824676,0.5216185,0.5794994,0.4796867,0.400185,2
0.6232246,0.632273,0.6617948,0.4824676,0.5216185,0.5794994,0.4796867,0.5258397,2
0.6232246,0.632273,0.6617948,0.4824676,0.5216185,0.5794994,0.4796867,0.4010463,2
0.6232246,0.632273,0.6617948,0.4824676,0.5216185,0.5794994,0.4796867,0.4052563,2
0.6232246,0.632273,0.6617948,0.4824676,0.5216185,0.5794994,0.4807858,0.4052563,2
0.6232246,0.632273,0.6617948,0.4824676,0.5216185,0.5794994,0.4796867,0.400185,2
0.6232246,0.632273,0.6617948,0.4824676,0.5216185,0.5794994,0.4796867,0.400185,2
0.6232246,0.632273,0.6300677,0.4824676,0.4229953,0.5794994,0.4796867,0.5258397,2
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.5847494,0.5258397,3
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.5847494,0.5258397,3
0.6912225,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.5847494,0.5258397,3
0.6232246,0.632273,0.5835793,0.4824676,0.3944193,0.472668,0.5847494,0.5258397,3
