sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,label
0.6793182,0.5873959,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,0
0.6793182,0.4832272,0.5390039,0.4874715,0.4525747,0.5245443,0.4750104,0.4134265,0.5072575,0.4741891,0
0.6793182,0.5873959,0.4538928,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.3353328,0
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4686871,0.4134265,0.4463796,0.3305041,0
0.6793182,0.5873959,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4033709,0
0.6656726,0.5873959,0.4880105,0.4007549,0.4525747,0.4740737,0.468564,0.4134265,0.5319599,0.4741891,0
0.6793182,0.5873959,0.4179429,0.4372308,0.4525747,0.5245443,0.4240129,0.4134265,0.4463796,0.4741891,0
0.6793182,0.5873959,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3865153,0
0.6486219,0.5873959,0.4179429,0.3997508,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.4741891,0
0.6793182,0.5873959,0.4179429,0.3997435,0.4525747,0.5245443,0.4697711,0.4134265,0.4463796,0.4741891,0
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.3305041,1
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,1
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,1
0.6793182,0.5873959,0.5390039,0.5226253,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.3378392,1
0.6793182,0.5873959,0.5284768,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.3979922,1
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.438188,1
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,1
0.6793182,0.5873959,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.3374498,1
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,1
0.6793182,0.5873959,0.5390039,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,1
0.6072472,0.5873959,0.4179429,0.3997435,0.4525747,0.4486554,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4183332,0.3997435,0.4525747,0.3986267,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4685353,0.3997435,0.3907799,0.4187796,0.3946589,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4180591,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4183332,0.3997435,0.4525747,0.4458309,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4179429,0.4194346,0.4525747,0.3990409,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4179429,0.4007463,0.4525747,0.3984038,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4649947,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4179429,0.3997435,0.4525747,0.5220328,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6072472,0.5873959,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,2
0.6793182,0.4832272,0.4179429,0.4025784,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3305107,3
0.6793182,0.4832272,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3331153,3
0.6793182,0.5748202,0.4793612,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3868005,3
0.6793182,0.4832272,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.4741891,3
0.6793182,0.5178967,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3305041,3
0.6793182,0.4832272,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3305041,3
0.6793182,0.4832272,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3305041,3
0.6793182,0.5873959,0.4181425,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3305041,3
0.6793182,0.5579014,0.4179429,0.4006391,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3305107,3
0.6793182,0.4832272,0.4179429,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4463796,0.3405397,3
0.6072472,0.562191,0.5390039,0.3997435,0.4525747,0.3984038,0.4750104,0.4134265,0.5072575,0.4033709,4
0.6072472,0.5222116,0.5390039,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4033709,4
0.6072472,0.5024772,0.5390039,0.3997435,0.4525747,0.5220328,0.4750104,0.4134265,0.4504939,0.3305041,4
0.6072472,0.5133167,0.5390039,0.3997435,0.4061006,0.5245443,0.4750104,0.4134265,0.4467132,0.3305041,4
0.6072472,0.5222116,0.5390039,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4504939,0.3331153,4
0.6072472,0.5222116,0.5390039,0.3997435,0.4523301,0.5245443,0.4750104,0.4134265,0.5118704,0.4033709,4
0.6072472,0.5222116,0.5390039,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4797486,0.3305041,4
0.6072472,0.5222116,0.5390039,0.3997435,0.4525747,0.5245443,0.3320129,0.399007,0.5602981,0.4741891,4
0.6072472,0.5219821,0.5390039,0.3997435,0.4525747,0.5245443,0.4750104,0.4134265,0.4504939,0.3305041,4
0.6072472,0.562191,0.5390039,0.3997435,0.3744429,0.5245443,0.4750104,0.4134265,0.4504939,0.4033709,4
0.6072472,0.5873959,0.4180591,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.4930415,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.4843641,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.5806631,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.4930415,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.5873959,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.5406833,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.5806631,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.5873959,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
0.6072472,0.5847252,0.4179429,0.5254324,0.4525747,0.5245443,0.4750104,0.4134265,0.5602981,0.4741891,5
