sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,label
0.522854,0.6360521,0.6826251,0.6902908,0.5921277,0.4999492,0.5910622,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.3971387,0
0.522854,0.5489284,0.6826251,0.6220465,0.5684432,0.4997731,0.5910622,0.5620567,0.5495368,0.4607314,0.4854741,0.4219078,0.503812,0
0.522854,0.5824465,0.6826251,0.6220465,0.5921277,0.4999492,0.4882437,0.5620567,0.5495368,0.4607314,0.4493765,0.4219078,0.503812,0
0.522854,0.5756259,0.6826251,0.6220465,0.5921277,0.4999492,0.5910622,0.5620567,0.5495368,0.5708512,0.3997057,0.4219078,0.440269,0
0.522854,0.6360521,0.6826251,0.6902908,0.5921277,0.4999492,0.5446268,0.5620567,0.5495368,0.4934669,0.4854741,0.4219078,0.3720746,0
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.5910622,0.5620567,0.5495368,0.5708512,0.3473279,0.4219078,0.503812,0
0.522854,0.5489284,0.6826251,0.6220465,0.5916682,0.4999492,0.5910622,0.5620567,0.5495368,0.5708512,0.4854741,0.4219078,0.503812,0
0.522854,0.5712761,0.6826251,0.6220465,0.4906501,0.4999492,0.4882437,0.5620567,0.5495368,0.4986487,0.4235202,0.4219078,0.503812,0
0.522854,0.5489284,0.6826251,0.6220465,0.4896757,0.4999492,0.4882437,0.5620567,0.5495368,0.5708512,0.3461143,0.4219078,0.503812,0
0.522854,0.5489284,0.6826251,0.6220465,0.5386084,0.4999492,0.50737,0.5620567,0.5495368,0.559249,0.4783485,0.4219078,0.503812,0
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.6365302,0.5708512,0.4854741,0.4219078,0.3709272,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.6365302,0.5708512,0.4854741,0.4219078,0.503812,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.6365302,0.5708512,0.4854741,0.4219078,0.503812,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.5981342,0.5708512,0.4854741,0.4219078,0.3955165,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.6365302,0.5708512,0.4854741,0.4219078,0.3704853,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.6365302,0.5708512,0.4854741,0.4219078,0.503812,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.6365302,0.5708512,0.4854741,0.4219078,0.503812,1
0.522854,0.6360521,0.7354743,0.6902908,0.5921277,0.4999492,0.5910622,0.6458879,0.5502442,0.5708512,0.4854741,0.4219078,0.3704853,1
