gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.73665,6.2,0.13277246514243832,1.7492855684535902,0.417,3.0,0.933,9.0
1,10,0.8632500000000001,7.0,0.05865225912102621,1.3038404810405297,0.783,5.0,0.933,10.0
2,11,0.9090999999999999,7.15,0.0334258881706979,1.1079259903080172,0.833,5.0,0.933,9.0
3,15,0.9306000000000001,6.95,0.005713142742834285,0.864580823289529,0.917,6.0,0.933,8.0
4,7,0.933,6.35,0.0,0.5722761571129799,0.933,6.0,0.933,8.0
5,14,0.933,6.0,0.0,0.0,0.933,6.0,0.933,6.0
6,11,0.933,6.05,0.0,0.2179449471770336,0.933,6.0,0.933,7.0
7,10,0.92555,5.95,0.022511052840771376,0.21794494717703364,0.85,5.0,0.933,6.0
8,12,0.9296999999999999,6.05,0.014384366513684235,0.21794494717703364,0.867,6.0,0.933,7.0
9,11,0.933,6.0,0.0,0.0,0.933,6.0,0.933,6.0
10,14,0.9247,6.0,0.03617886123138761,0.5477225575051661,0.767,4.0,0.933,7.0
11,13,0.933,6.1,0.0,0.4358898943540672,0.933,6.0,0.933,8.0
12,18,0.933,6.05,0.0,0.21794494717703364,0.933,6.0,0.933,7.0
13,6,0.933,6.0,0.0,0.0,0.933,6.0,0.933,6.0
14,14,0.9263499999999999,5.85,0.028986677974545492,0.4769696007084727,0.8,4.0,0.933,6.0
15,15,0.9247,6.0,0.024900000000000026,0.6324555320336759,0.85,5.0,0.933,8.0
16,12,0.933,5.75,0.0,0.6224949798994366,0.933,5.0,0.933,7.0
17,11,0.933,5.25,0.0,0.4330127018922193,0.933,5.0,0.933,6.0
18,12,0.9288500000000001,5.05,0.018089430615693812,0.3840572873934304,0.85,4.0,0.933,6.0
19,8,0.933,5.0,0.0,0.0,0.933,5.0,0.933,5.0
20,14,0.933,5.0,0.0,0.0,0.933,5.0,0.933,5.0
