gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.7174499999999998,6.2,0.21092782533369087,1.7492855684535902,0.35,3.0,1.0,9.0
1,10,0.9008499999999999,7.25,0.13007854358040757,1.1346805717910218,0.617,5.0,1.0,10.0
2,11,0.96915,6.85,0.11363418279725516,0.7921489758877434,0.483,5.0,1.0,9.0
3,15,0.9483,6.5,0.1551,1.161895003862225,0.483,3.0,1.0,8.0
4,7,1.0,5.3,0.0,1.5524174696260025,1.0,3.0,1.0,7.0
5,14,1.0,4.1,0.0,1.1357816691600546,1.0,3.0,1.0,7.0
6,11,1.0,3.45,0.0,0.9205976319760986,1.0,2.0,1.0,6.0
7,10,1.0,3.0,0.0,0.7071067811865476,1.0,2.0,1.0,5.0
8,12,1.0,2.6,0.0,0.5830951894845302,1.0,2.0,1.0,4.0
9,11,1.0,2.2,0.0,0.39999999999999997,1.0,2.0,1.0,3.0
10,14,1.0,2.1,0.0,0.5385164807134505,1.0,1.0,1.0,4.0
11,13,1.0,2.05,0.0,0.49749371855331015,1.0,1.0,1.0,4.0
12,18,1.0,1.95,0.0,0.38405728739343037,1.0,1.0,1.0,3.0
13,6,1.0,1.7,0.0,0.4582575694955839,1.0,1.0,1.0,2.0
14,14,1.0,1.35,0.0,0.7262919523166976,1.0,1.0,1.0,4.0
15,15,1.0,1.2,0.0,0.5099019513592785,1.0,1.0,1.0,3.0
16,12,1.0,1.1,0.0,0.3,1.0,1.0,1.0,2.0
17,11,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
18,12,1.0,1.15,0.0,0.3570714214271425,1.0,1.0,1.0,2.0
19,8,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
20,14,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
