sensor1 x: 0.09, y: 0.06
sensor2 x: 0.61, y: 0.05
sensor2 x: 0.80, y: 0.11
sensor3 x: 0.80, y: 0.11
sensor2 x: 0.76, y: 0.06
sensor3 x: 1.49, y: 0.06
sensor4 x: 2.16, y: 0.07
sensor5 x: 2.74, y: 0.09
sensor6 x: 0.07, y: 0.49
sensor6 x: 0.07, y: 0.56
sensor7 x: 0.76, y: 0.57
sensor8 x: 1.51, y: 0.58
sensor9 x: 2.17, y: 0.60
sensor10 x: 2.68, y: 0.61
sensor11 x: 0.08, y: 0.99
sensor12 x: 0.75, y: 1.00
sensor13 x: 0.75, y: 1.00
sensor12 x: 0.79, y: 0.98
sensor12 x: 0.75, y: 0.99
sensor12 x: 0.77, y: 0.99
sensor13 x: 1.49, y: 1.01
sensor14 x: 2.17, y: 1.03
sensor15 x: 2.69, y: 1.00
sensor16 x: 0.06, y: 1.40
sensor17 x: 0.06, y: 1.88
sensor17 x: 0.77, y: 1.39
sensor18 x: 0.78, y: 1.38
sensor18 x: 1.53, y: 1.41
sensor19 x: 2.15, y: 1.42
sensor20 x: 2.69, y: 1.46
sensor21 x: 0.03, y: 1.82
sensor22 x: 0.76, y: 1.82
sensor23 x: 1.54, y: 1.82
sensor24 x: 2.13, y: 1.86
sensor25 x: 2.67, y: 1.93
sensor25 x: 2.65, y: 1.86
sensor26 x: 2.64, y: 1.86
sensor25 x: 2.67, y: 1.86
