sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,label
0.7085333,0.6062692,0.6846344,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.366326,0,0
0.6465796,0.508705,0.6846344,0.5766203,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,0
0.7085333,0.6062692,0.6846344,0.6319228,0.5005673,0.5574026,0.4694622,0.385113,0.2932166,0,0
0.7085333,0.6062692,0.6846344,0.6319228,0.5005673,0.5593569,0.4694622,0.4657322,0.3698214,0,0
0.7085333,0.6062692,0.6846344,0.6319228,0.5005673,0.5593569,0.4694622,0.385113,0.2954025,0,0
0.7085333,0.6062692,0.6846344,0.6319228,0.5005673,0.4990313,0.4778971,0.3867859,0.3190042,0,0
0.7085333,0.6062692,0.6846344,0.6319228,0.5005673,0.5593569,0.4694622,0.385113,0.2932166,0,0
0.6559151,0.6062692,0.6846344,0.6319228,0.5005673,0.5593569,0.4694622,0.385113,0.2932166,0,0
0.6465796,0.6062692,0.6846344,0.6319228,0.5005673,0.5593569,0.4694622,0.385113,0.2953788,0,0
0.7085333,0.6062692,0.6918947,0.6319228,0.5005673,0.5593569,0.4694622,0.385113,0.3238193,0,0
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.4517118,0.3698214,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.385113,0.3698214,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.3482468,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.385113,0.3105583,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.366326,0,1
0.7085333,0.6062692,0.7365887,0.6319228,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,1
0.7085333,0.5202768,0.6846344,0.6319228,0.5005673,0.4453048,0.5771542,0.385113,0.365878,0,2
0.7085333,0.5461286,0.6846344,0.6319228,0.5005673,0.4453048,0.5698678,0.385113,0.3698214,0,2
0.7085333,0.508705,0.6846344,0.6319228,0.5005673,0.4453048,0.5771542,0.4575422,0.3698214,0,2
0.7085333,0.5107355,0.6846344,0.6319228,0.5005673,0.4453048,0.5771542,0.385113,0.3698214,0,2
0.7085333,0.508705,0.6846344,0.6319228,0.5005673,0.4453048,0.5771542,0.385113,0.3698214,0,2
0.7085333,0.5461286,0.6846344,0.6319228,0.5005673,0.4453048,0.5771542,0.395818,0.3698214,0,2
0.7085333,0.5712215,0.6846344,0.6319228,0.5005673,0.4453048,0.5771542,0.385113,0.3698214,0,2
0.7085333,0.508705,0.6846344,0.6319228,0.5005673,0.4453048,0.5368343,0.385113,0.3698214,0,2
0.7085333,0.5092388,0.6846344,0.6319228,0.5005673,0.4453048,0.5771542,0.385113,0.345342,0,2
0.7085333,0.5106108,0.6846344,0.6319228,0.5005673,0.4453048,0.4944152,0.385113,0.3698214,0,2
0.7085333,0.6062692,0.6846344,0.5433161,0.3814419,0.5593569,0.4694622,0.3940073,0.3442521,0,3
0.7085333,0.6062692,0.6846344,0.5433161,0.3814419,0.5593569,0.4694622,0.385113,0.3105229,0,3
0.7085333,0.6062692,0.7365887,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3623202,0,3
0.7085333,0.6062692,0.6846344,0.5433161,0.495302,0.5593569,0.4694622,0.385113,0.2944036,0,3
0.7085333,0.6062692,0.6846344,0.5433161,0.5005202,0.5593569,0.4694622,0.3919569,0.2953788,0,3
0.7085333,0.6062692,0.6846344,0.5433161,0.3814419,0.5593569,0.4694622,0.385113,0.3623202,0,3
0.7085333,0.6062692,0.6846344,0.5433161,0.3814419,0.5593569,0.4694622,0.385113,0.2932166,0,3
0.7085333,0.6062692,0.6846344,0.5738855,0.4938113,0.5593569,0.4694622,0.3867859,0.3698214,0,3
0.7085333,0.6062692,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.4335012,0.2944036,0,3
0.7085333,0.6062692,0.6846344,0.5433161,0.4736941,0.5593569,0.4694622,0.385113,0.2954025,0,3
0.646594,0.508705,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.508705,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6486757,0.508705,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6656889,0.5368869,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.583896,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.4453048,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.5843885,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.5198102,0.6846344,0.5433161,0.5005673,0.5593569,0.4694622,0.385113,0.3698214,0,4
0.6465796,0.5595167,0.6846344,0.5547045,0.5005673,0.4469808,0.5771542,0.5146692,0.3659048,0,5
0.6465796,0.6002975,0.6846344,0.5433161,0.5005673,0.4609485,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.5595167,0.6846344,0.5433161,0.5005673,0.44742,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.6062692,0.6846344,0.5433285,0.5005673,0.4979554,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.6062692,0.6846344,0.5439178,0.5005673,0.5593569,0.5771542,0.5146692,0.3698214,0,5
0.6465796,0.6062692,0.6846344,0.5433161,0.5005673,0.4979554,0.5771542,0.5146692,0.3698214,0,5
