gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.7100000000000001,4.9,0.1389467523909789,1.3000000000000003,0.433,3.0,0.95,8.0
1,12,0.825,5.85,0.08838721627022766,1.3883443376914821,0.617,4.0,0.95,10.0
2,13,0.8873999999999997,5.65,0.05348588598873538,1.49248115565993,0.817,4.0,0.95,10.0
3,12,0.9190999999999997,5.1,0.039898496212263435,1.4106735979665885,0.817,4.0,0.95,10.0
4,10,0.9391499999999997,4.25,0.035095975552761,0.4330127018922193,0.8,4.0,0.95,5.0
5,10,0.9491499999999997,4.05,0.003705064102009553,0.21794494717703364,0.933,4.0,0.95,5.0
6,12,0.9499999999999996,4.05,3.3306690738754696e-16,0.2179449471770336,0.95,4.0,0.95,5.0
7,20,0.9408499999999996,4.0,0.03988392533339715,0.31622776601683794,0.767,3.0,0.95,5.0
8,9,0.9499999999999996,4.05,3.3306690738754696e-16,0.21794494717703367,0.95,4.0,0.95,5.0
9,14,0.9249999999999996,3.95,0.07946005285676568,0.38405728739343037,0.617,3.0,0.95,5.0
10,8,0.9424999999999997,4.05,0.0261275716437636,0.49749371855331015,0.833,3.0,0.95,6.0
11,11,0.9333499999999997,4.0,0.04791792462116863,0.31622776601683794,0.767,3.0,0.95,5.0
12,10,0.9333499999999997,4.1,0.05022178312246586,0.7681145747868608,0.767,3.0,0.95,7.0
13,12,0.9441499999999996,4.1,0.02549955881971294,0.4358898943540672,0.833,4.0,0.95,6.0
14,11,0.9499999999999996,4.1,3.3306690738754696e-16,0.30000000000000004,0.95,4.0,0.95,5.0
15,8,0.9483499999999998,4.1,0.007192183256842096,0.4358898943540672,0.917,4.0,0.95,6.0
16,10,0.9483499999999998,4.0,0.007192183256842096,0.0,0.917,4.0,0.95,4.0
17,13,0.9424999999999997,3.95,0.03269174207655503,0.21794494717703364,0.8,3.0,0.95,4.0
18,15,0.9482999999999997,4.1,0.00509999999999997,0.30000000000000004,0.933,4.0,0.95,5.0
19,9,0.9416499999999998,3.95,0.03639680617856461,0.21794494717703364,0.783,3.0,0.95,4.0
20,16,0.9149499999999996,3.95,0.08966519670418394,0.4974937185533101,0.583,3.0,0.95,5.0
