sensor1,sensor2,sensor3,label
0.6319228,0.5593569,0.5771542,0
0.6319228,0.5593569,0.5771542,0
0.6319228,0.5593569,0.4694622,0
0.6319228,0.5593569,0.4694622,0
0.6319228,0.5593569,0.4694622,0
0.6319228,0.4990313,0.4778971,0
0.6319228,0.5593569,0.4694622,0
0.6319228,0.5593569,0.4694622,0
0.6319228,0.5593569,0.4694622,0
0.6319228,0.5593569,0.4694622,0
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.5593569,0.5771542,1
0.6319228,0.4453048,0.5771542,2
0.6319228,0.4453048,0.5698678,2
0.6319228,0.4453048,0.5771542,2
0.6319228,0.4453048,0.5771542,2
0.6319228,0.4453048,0.5771542,2
0.6319228,0.4453048,0.5701293,2
0.6319228,0.4453048,0.5771542,2
0.6319228,0.4453048,0.5368343,2
0.6319228,0.4453048,0.5771542,2
0.6319228,0.4453048,0.4944152,2
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5752253,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,3
0.5433161,0.5593569,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5433161,0.4453048,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5433161,0.5593569,0.4694622,4
0.5547045,0.4469808,0.5771542,5
0.5433161,0.4609485,0.5771542,5
0.5433161,0.44742,0.5771542,5
0.5433285,0.4979554,0.5771542,5
0.5433161,0.5593569,0.5771542,5
0.5433161,0.5593569,0.5771542,5
0.5433161,0.5593569,0.5771542,5
0.5433161,0.5593569,0.5771542,5
0.5439178,0.5593569,0.5771542,5
0.5433161,0.4979554,0.5771542,5
