sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,time
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4794914,0.4759356,0.5609069,0.5069434,0.3931999,0.4278234,0.5008132,0.3733333
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4390644,0.4278234,0.5008132,0.5355211
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4278234,0.5008132,0.6392729
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4278234,0.5008132,0.7392762
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4278234,0.5008132,0.8417027
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4278234,0.5008132,0.9490559
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759199,0.5609069,0.5069434,0.4458333,0.4278234,0.5008132,1.070069
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4271484,0.5008132,1.180502
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4271484,0.5008132,1.308548
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4271484,0.5008132,1.421435
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4815182,0.4759356,0.5609069,0.5069434,0.4458333,0.4278234,0.5008132,1.529026
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4816192,0.4759356,0.5609069,0.5069434,0.4458333,0.423304,0.5008132,1.640302
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5184537,0.5123313,0.5609069,0.5069434,0.4114915,0.4030087,0.5008132,1.750053
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.3931999,0.4091933,0.5008132,1.858204
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.3999338,0.4374476,0.5008132,1.980847
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.112341
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.214894
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.336096
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.455155
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.5183116,0.5174513,0.5008132,2.561895
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.5069434,0.3931999,0.3890781,0.5008132,2.666647
0.6285489,0.5796133,0.5759171,0.6204446,0.5663875,0.5352089,0.5146747,0.5609069,0.3749748,0.3899824,0.3890781,0.3890229,2.773406
0.6285489,0.6166946,0.5989034,0.6204446,0.4549735,0.4782891,0.4758098,0.4476366,0.3873124,0.3899824,0.3890781,0.4311332,2.884779
0.5971518,0.5765583,0.5758128,0.6204446,0.4549735,0.4782891,0.4758098,0.4476366,0.3900299,0.3899824,0.3890781,0.4614792,3.017004
0.6285489,0.5763404,0.5808961,0.6204446,0.5663875,0.4866125,0.5024749,0.5609069,0.3749748,0.3899824,0.3890781,0.3686866,3.137012
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4878701,0.5323347,0.5609069,0.5069434,0.3911218,0.4580021,0.5008132,3.242435
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5294659,0.5818953,0.5609069,0.5069434,0.3907146,0.4292402,0.5008132,3.343008
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.5768234,0.5609069,0.5069434,0.3927614,0.5115795,0.5008132,3.44355
0.6285489,0.5933521,0.6530342,0.6204446,0.5663875,0.4782891,0.5818953,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,3.543548
0.6285489,0.577994,0.6530342,0.6204446,0.5663875,0.4782891,0.5818953,0.5609069,0.469983,0.3899824,0.4699824,0.5007887,3.643548
0.6285489,0.6020285,0.6530342,0.6204446,0.5237945,0.4782891,0.5818953,0.5609069,0.4978341,0.3899824,0.5174513,0.5008132,3.743548
0.6285489,0.6563308,0.6530342,0.6204446,0.4711852,0.4782891,0.5818953,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,3.845612
0.6285489,0.6563773,0.6530342,0.6204446,0.4711852,0.4782891,0.5818953,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,3.945724
0.6285489,0.6563773,0.6530342,0.6204446,0.4711852,0.4782891,0.5818953,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,4.04817
0.6285489,0.6563773,0.6530342,0.6204446,0.5518416,0.4782891,0.5818953,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,4.148171
0.6285489,0.6563773,0.6530342,0.6204446,0.5536677,0.4782891,0.5818953,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,4.252262
0.6285489,0.6563773,0.6530342,0.6204446,0.5536677,0.4782891,0.5818953,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,4.352276
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.5289695,0.5609069,0.5069434,0.3899824,0.5115795,0.5008132,4.45227
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.5191948,0.5609069,0.5069434,0.3899824,0.5013214,0.5008132,4.552563
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.5191948,0.5609069,0.5069434,0.3899824,0.5013214,0.5008132,4.65261
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.5191948,0.5609069,0.5069434,0.3899824,0.5013214,0.5008132,4.752601
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.5191948,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,4.852606
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,4.952607
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.052603
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.152604
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.252747
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.352808
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.452802
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.553288
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.653287
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.753288
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.853295
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,5.953289
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,6.053313
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,6.153303
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,6.253308
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,6.35331
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,6.453305
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,6.553311
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4782891,0.4970903,0.5609069,0.5069434,0.3899824,0.4968084,0.5008132,6.653312
