sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,time
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.4834375,0.5818953,0.5609069,0.4842816,0.3899824,0.479159,0.5008132,0.3733333
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5068797,0.5818953,0.5609069,0.4871733,0.3899824,0.4641005,0.5008132,0.5465664
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5313506,0.5818953,0.5609069,0.5069434,0.3899824,0.4454266,0.5008132,0.7082735
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5399136,0.5818953,0.5609069,0.5069434,0.3899824,0.4454266,0.5008132,0.8217377
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5154764,0.5818953,0.5609069,0.5069434,0.3899824,0.4454266,0.5008132,0.9217302
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5154764,0.5818953,0.5609069,0.5069434,0.3899824,0.4454266,0.5008132,1.021728
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5154764,0.5818953,0.5609069,0.5069434,0.3899824,0.4454266,0.5008132,1.122156
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5154764,0.5818953,0.5609069,0.4871733,0.3899824,0.4641005,0.5008132,1.294329
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5068797,0.5818953,0.5609069,0.4763174,0.3899824,0.479159,0.5008132,1.455445
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5154764,0.5818953,0.5609069,0.4763174,0.3899824,0.493054,0.5008132,1.564338
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5066759,0.5818953,0.5609069,0.4762537,0.3899824,0.4792082,0.5008132,1.717381
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5152501,0.5818953,0.5609069,0.3976405,0.3899824,0.5174513,0.5008132,1.832559
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5066759,0.5818953,0.5609069,0.3976405,0.3899824,0.5174513,0.5008132,1.932566
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5066759,0.5818953,0.5609069,0.3807025,0.3899824,0.5174513,0.5008132,2.032568
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.532026,0.5818953,0.5609069,0.3749748,0.3899824,0.5174513,0.5008132,2.152525
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.5818953,0.5609069,0.3749748,0.3899824,0.5174513,0.5008132,2.25253
