sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,time
0.6285489,0.6518173,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5629986,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,0.3733333
0.6285489,0.5983605,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5058068,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,0.57429
0.6285489,0.5983605,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5522171,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,0.7742926
0.6285489,0.5983605,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5522171,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,0.9742861
0.6285489,0.5983605,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5522171,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,1.174855
0.6285489,0.5983605,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5058068,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,1.374883
0.6285489,0.5983605,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5058068,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,1.574884
0.6285489,0.6229383,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5058068,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,1.774884
0.6285489,0.6516716,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5522171,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,1.974909
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.5266653,0.6169727,0.5908623,0.5663875,0.4782891,0.5759349,0.5609069,0.5069434,0.3899824,0.5174513,0.5008132,2.174904
