sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,time
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.5266925,0.547371,0.5908623,0.5663875,0.4782891,0.4758098,0.5609069,0.5356158,0.4314145,0.4308129,0.5316289,0.5069434,0.3904784,0.4033463,0.5008132,0.4746012,0.3520108,0.3516302,0.4726265,0.3733333
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.5266653,0.547371,0.5908623,0.5663875,0.4782891,0.4758098,0.5609069,0.5356158,0.4314145,0.4308129,0.5316289,0.5069434,0.3899824,0.4641005,0.5008132,0.4746012,0.3520108,0.3592526,0.4726265,0.5733451
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.5266653,0.547371,0.5908623,0.5663875,0.4782891,0.4758098,0.5609069,0.5356158,0.4314145,0.4308129,0.5316289,0.5069434,0.3899824,0.479159,0.5008132,0.4746012,0.3520108,0.3592526,0.4726265,0.7733473
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.5266653,0.6103309,0.5908623,0.5663875,0.4782891,0.4844779,0.5609069,0.5356158,0.4314145,0.4308129,0.5316289,0.5069434,0.3899824,0.493054,0.5008132,0.4746012,0.3520108,0.4129526,0.4726265,0.9738815
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.4782891,0.5637878,0.5609069,0.5356158,0.4314145,0.4458597,0.5316289,0.5069434,0.3899824,0.3924654,0.5008132,0.4746012,0.3520108,0.4855189,0.4726265,1.173881
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.5485642,0.5484444,0.5316289,0.5069434,0.3899824,0.4184152,0.5008132,0.4746012,0.3520108,0.362572,0.4726265,1.373884
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.5485663,0.5484444,0.5316289,0.5069434,0.5183116,0.5174513,0.5008132,0.4746012,0.4902494,0.4867513,0.4726265,1.574346
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.5485663,0.5484444,0.5316289,0.5069434,0.5183116,0.5174513,0.5008132,0.4746012,0.4902494,0.4867513,0.4726265,1.774348
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.6195737,0.6169727,0.5908623,0.5663875,0.5837117,0.5818953,0.5609069,0.5356158,0.5485663,0.5484444,0.5316289,0.5069434,0.5183116,0.5174513,0.5008132,0.4746012,0.4902494,0.4867513,0.4726265,1.974349
0.6285489,0.6563773,0.6530342,0.6204446,0.598058,0.5269846,0.5231501,0.5908623,0.5663875,0.4786607,0.4758098,0.5609069,0.5356158,0.4429988,0.4308129,0.5316289,0.5069434,0.4951446,0.3890781,0.5008132,0.3745375,0.3520108,0.3490047,0.3707713,2.174779
