sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,time
0.5388048,0.5762194,0.5717152,0.6118647,0.4549735,0.4782891,0.4758098,0.4781764,0.3749748,0.3899824,0.3890781,0.3688739,0.3733333
0.5388048,0.5762194,0.5717152,0.6118647,0.4549735,0.4782891,0.4758098,0.4781764,0.3749748,0.3899824,0.3890781,0.3728328,0.511462
0.5388048,0.5762194,0.5717152,0.6118647,0.4549735,0.4782891,0.4758098,0.4781764,0.3749748,0.3899824,0.3890781,0.3728328,0.6114678
0.5388048,0.5762194,0.5717152,0.5653968,0.4549735,0.4782891,0.4758098,0.4781764,0.3749748,0.3899824,0.3890781,0.3728328,0.7114694
0.5388048,0.5762194,0.5717152,0.5653968,0.4549735,0.4782891,0.4758098,0.4781764,0.3749748,0.3899824,0.3890781,0.3728328,0.8114704
0.5388048,0.5762194,0.5717152,0.5653968,0.4549735,0.4782891,0.4758098,0.4781764,0.3749748,0.3899824,0.3890781,0.3728328,0.9118993
0.5388048,0.5762194,0.5717152,0.5653968,0.4549735,0.4782891,0.4758098,0.4781764,0.3749748,0.3899824,0.3890781,0.3728328,1.011895
0.5388048,0.5762194,0.5717152,0.5653968,0.4549735,0.4782891,0.4758098,0.4486676,0.3749748,0.3899824,0.3890781,0.3728328,1.111894
0.5388048,0.5762194,0.5717152,0.5488135,0.4549735,0.4782891,0.4758098,0.4486676,0.3749748,0.3899824,0.3890781,0.3728328,1.21251
0.5388048,0.5762194,0.5717152,0.5788453,0.4549735,0.4782891,0.4758098,0.4486676,0.3749748,0.3899824,0.3890781,0.3728328,1.312569
0.5388048,0.5762194,0.5717152,0.6078499,0.4549735,0.4782891,0.4758098,0.5507124,0.3749748,0.3899824,0.3890781,0.3688739,1.41257
0.5388048,0.5762194,0.5717152,0.6204446,0.4549735,0.4782891,0.4758098,0.5281043,0.3749748,0.3899824,0.3890781,0.3765909,1.512842
0.5431327,0.5762194,0.5717152,0.6204446,0.4549735,0.4782891,0.4758098,0.4538604,0.3749748,0.3899824,0.3890781,0.3765909,1.612844
0.5444645,0.5762194,0.5717152,0.5279158,0.4830215,0.4782891,0.4758098,0.5269604,0.3749748,0.3899824,0.3890781,0.3765909,1.713224
0.5388048,0.5762194,0.5717152,0.5279158,0.4833927,0.4782891,0.4758098,0.546793,0.388811,0.3899824,0.3890781,0.4956415,1.813227
0.5388048,0.5762194,0.5717152,0.5279158,0.4737155,0.4782891,0.4758098,0.5609069,0.4027443,0.3899824,0.3890781,0.5008729,1.913298
0.6285489,0.5762194,0.5717152,0.5958308,0.5660718,0.4782891,0.4758098,0.5269604,0.3749748,0.3899824,0.3890781,0.4240915,2.013299
0.5557268,0.5762194,0.5717152,0.5958308,0.4549735,0.4782891,0.4758098,0.5563954,0.3749748,0.3899824,0.3890781,0.4565847,2.113304
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.5810477,0.4758098,0.4476366,0.3749748,0.5183116,0.4696887,0.3686866,2.213405
0.5388048,0.5762194,0.5730068,0.5279158,0.4549735,0.5837117,0.5818953,0.4476366,0.3749748,0.5183116,0.5174513,0.3686866,2.313405
0.5388048,0.5762194,0.5730068,0.5279158,0.4549735,0.5837117,0.5818953,0.4476366,0.3749748,0.5183116,0.5174513,0.3686866,2.413407
0.5614707,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4792396,0.4476366,0.3749748,0.5183116,0.5174513,0.3686866,2.513405
0.6285489,0.5762194,0.5717152,0.5279158,0.5663875,0.4782891,0.4758098,0.4476366,0.5069402,0.3899824,0.3890781,0.3686866,2.613434
0.6285489,0.5762194,0.5717152,0.5279158,0.5663875,0.4782891,0.4758098,0.4476366,0.5069434,0.3899824,0.3890781,0.3686866,2.713434
0.6285489,0.5762194,0.5717152,0.5279158,0.5663875,0.4782891,0.4758098,0.4476366,0.5069434,0.3899824,0.3890781,0.3686866,2.813437
0.6285489,0.5762194,0.5717152,0.5279158,0.5663875,0.4782891,0.4758098,0.4476366,0.5069434,0.3899824,0.3890781,0.3686866,2.913433
0.6285489,0.5762194,0.5717152,0.5279158,0.5663875,0.4782891,0.4758098,0.4476366,0.5065504,0.3899824,0.3890781,0.3686866,3.013439
0.6285489,0.5762194,0.5717152,0.5279158,0.5663875,0.4782891,0.4758098,0.4476366,0.4047919,0.3899824,0.3989449,0.3686866,3.113437
0.6285489,0.5762194,0.5717152,0.5279158,0.5663875,0.4782891,0.4758098,0.4476366,0.4047919,0.3899824,0.3941554,0.3686866,3.213439
