sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,time
0.5388048,0.5762194,0.5717152,0.5318418,0.4975913,0.5266653,0.5231501,0.5037526,0.4549735,0.4782891,0.4758098,0.4627758,0.3749748,0.3899824,0.3890781,0.3740981,0.3733333
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.5037433,0.4549735,0.4782891,0.4758098,0.4527321,0.3749748,0.3899824,0.3890781,0.4144683,0.5734529
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.5037433,0.4549735,0.4782891,0.4758098,0.4527321,0.3749748,0.3899824,0.3890781,0.3778132,0.7734556
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.5037433,0.4549735,0.4782891,0.4758098,0.4608047,0.3749748,0.3899824,0.3890781,0.3778132,0.9741478
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.5037526,0.4549735,0.4782891,0.4758098,0.4608047,0.3749748,0.3899824,0.3890781,0.3778132,1.17415
0.5388048,0.5762194,0.5717152,0.5311006,0.4975913,0.5266653,0.5231501,0.5037526,0.4549735,0.4782891,0.4758098,0.4527321,0.3749748,0.3899824,0.3890781,0.3778132,1.37429
0.5388048,0.5762194,0.5717152,0.5311006,0.4975913,0.5266653,0.5231501,0.5037433,0.4549735,0.4782891,0.4758098,0.4527321,0.3749748,0.3899824,0.3890781,0.4523121,1.574284
0.5614731,0.5762194,0.5717152,0.6118647,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.3804749,1.774285
0.5388048,0.5762194,0.5717152,0.6118647,0.5203482,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.451504,1.974282
0.5388048,0.5762194,0.5717152,0.5912928,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.472521,0.3749748,0.3899824,0.3890781,0.4527006,2.175354
