sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,time
0.5559093,0.5762194,0.5717152,0.5983639,0.5250371,0.5266653,0.5231501,0.5896748,0.4552453,0.4782891,0.4758098,0.5425528,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.3733333
0.5388077,0.5762194,0.5717152,0.5279158,0.5250371,0.5266653,0.5231501,0.5896748,0.4552453,0.4782891,0.4758098,0.5260088,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.5773062
0.5559093,0.5762194,0.5717152,0.5279667,0.5250371,0.5266653,0.5231501,0.5896748,0.4552453,0.4782891,0.4758098,0.5260088,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.7773172
0.5559093,0.5762194,0.5717152,0.5952438,0.5254502,0.5266653,0.5231501,0.5896748,0.4646298,0.4782891,0.4758098,0.525815,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.9773307
0.5559093,0.5762194,0.5717152,0.5952438,0.5254502,0.5266653,0.5231501,0.5896748,0.4646298,0.4782891,0.4758098,0.525815,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,1.177319
0.5559093,0.5762194,0.5717152,0.6118647,0.5254502,0.5266653,0.5231501,0.5896748,0.4646298,0.4782891,0.4758098,0.525815,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,1.377311
0.5559093,0.5762194,0.5717152,0.6118647,0.5250371,0.5266653,0.5231501,0.5896748,0.4552453,0.4782891,0.4758098,0.5373276,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,1.577319
0.5388077,0.5762194,0.5717152,0.6118647,0.5250371,0.5266653,0.5231501,0.5896748,0.4552453,0.4782891,0.4758098,0.5373276,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,1.777462
0.5388048,0.5762194,0.5717152,0.6118647,0.5250371,0.5266653,0.5231501,0.5896748,0.4552453,0.4782891,0.4758098,0.525815,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,1.978022
0.5559093,0.5762194,0.5717152,0.5279158,0.5059344,0.5266653,0.5231501,0.4879575,0.4646298,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3762626,2.178032
0.5388048,0.5762194,0.5717152,0.5444729,0.5248563,0.5266653,0.5231501,0.4879575,0.4646298,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,2.378318
0.5388048,0.5762194,0.5717152,0.5909934,0.5496222,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4193224,0.3749748,0.3899824,0.3890781,0.3765909,2.578312
0.5388048,0.5762194,0.5717152,0.5912928,0.4975913,0.5266653,0.5231501,0.5059804,0.4549735,0.4782891,0.4758098,0.4476366,0.4254024,0.4314145,0.4308129,0.450812,0.3749748,0.3899824,0.3890781,0.3765909,2.778321
