sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,time
0.5388325,0.5762194,0.5717152,0.5324966,0.497979,0.5266653,0.5231501,0.5612448,0.4552453,0.4782891,0.4758098,0.4547685,0.4134873,0.4314145,0.4308129,0.4111192,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3351119,0.3733333
0.5388048,0.5762194,0.5717152,0.532558,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.4547685,0.4134873,0.4314145,0.4308129,0.4124173,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3538002,0.3490047,0.3351119,0.5733459
0.5388048,0.5762194,0.5717152,0.532558,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.4787928,0.4134873,0.4314145,0.4308129,0.4124173,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3538002,0.3490047,0.3351119,0.7736926
0.5388048,0.5762194,0.5717152,0.5958308,0.4975913,0.5266653,0.5231501,0.5844132,0.4549735,0.4782891,0.4758098,0.5269604,0.4134873,0.4314145,0.4308129,0.4124173,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3688142,0.3490047,0.3433794,0.9736999
0.5431305,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.5269604,0.4134873,0.4314145,0.4308129,0.4814231,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3355984,1.1737
0.5513253,0.5762194,0.5717152,0.6166801,0.5054169,0.5266653,0.5231501,0.5614451,0.4549735,0.4782891,0.4758098,0.5281043,0.4134873,0.4314145,0.4308129,0.4608402,0.3749748,0.3899824,0.3890781,0.4565847,0.3391758,0.3520108,0.3490047,0.3433794,1.373701
0.5431305,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4585159,0.4314145,0.4308129,0.4904597,0.3909132,0.3899824,0.3890781,0.4565847,0.3391758,0.3520108,0.3490047,0.4683618,1.573702
0.6285489,0.609256,0.5717152,0.6204446,0.598058,0.5266653,0.5231501,0.5377354,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.4034652,0.3899824,0.3890781,0.418311,0.3762718,0.3520108,0.3490047,0.4250468,1.773704
0.5388077,0.5762194,0.5717152,0.5279158,0.5250371,0.5266653,0.5231501,0.5612448,0.4833927,0.4782891,0.4758098,0.5609069,0.4437313,0.4314145,0.4308129,0.5316289,0.388811,0.3899824,0.3890781,0.5009548,0.3391758,0.3520108,0.3490047,0.4250468,1.973704
0.5388048,0.5762194,0.5717152,0.5958308,0.4975913,0.5266653,0.5231501,0.5112934,0.4549735,0.4782891,0.4758098,0.4497021,0.4134873,0.5291872,0.4308129,0.4080988,0.3749748,0.5183116,0.3938835,0.3686866,0.3391758,0.4902494,0.4771318,0.3351119,2.173705
