sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,time
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4485174,0.4134873,0.4314145,0.4308129,0.415355,0.3749748,0.3899824,0.3890781,0.3804749,0.3391758,0.3520108,0.3490047,0.3433794,0.3733333
0.5388048,0.5762194,0.5717152,0.5744185,0.4975913,0.5266653,0.5231501,0.5753915,0.4549735,0.4782891,0.4758098,0.4781764,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.3391758,0.3520108,0.3490047,0.3433794,0.5733438
0.5388048,0.5762194,0.5717152,0.5909934,0.4975913,0.5266653,0.5231501,0.5753915,0.4549735,0.4782891,0.4758098,0.525815,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.3391758,0.3520108,0.3490047,0.3433794,0.7733426
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.5753915,0.4549735,0.4782891,0.4758098,0.525815,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.3391758,0.3520108,0.3490047,0.3433794,0.9733503
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.5522381,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688739,0.3391758,0.3520108,0.3490047,0.3433794,1.173345
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3762626,0.3391758,0.3520108,0.3490047,0.3433794,1.373378
0.5388048,0.5762194,0.5717152,0.5909934,0.5496222,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,1.573378
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5113125,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.4476134,0.3391758,0.3520108,0.3490047,0.3433794,1.774249
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.5418344,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.4179261,0.3391758,0.3520108,0.3490047,0.3869948,1.975414
0.5388048,0.5762194,0.5717152,0.5315932,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.5269604,0.4408854,0.4314145,0.4308129,0.4535792,0.3749748,0.3899824,0.3890781,0.373117,0.3391758,0.3520108,0.3490047,0.4250468,2.175413
