sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,sensor13,sensor14,sensor15,sensor16,sensor17,sensor18,sensor19,sensor20,sensor21,sensor22,sensor23,sensor24,time
0.5388048,0.5762194,0.5717152,0.6166801,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5609069,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5013763,0.3391758,0.4055289,0.3490047,0.4774182,0.3733333
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4151563,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,0.5733457
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,0.7733628
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,0.9739055
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,1.174342
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,1.37452
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3762626,0.3391758,0.3520108,0.3490047,0.3433794,1.574519
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4086261,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,1.774602
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4124173,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,1.974594
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,2.175056
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,2.375292
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4086261,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,2.575887
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3765909,0.3391758,0.3520108,0.3490047,0.3433794,2.775886
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3688797,0.3391758,0.3520108,0.3490047,0.3355984,2.975889
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.3355984,3.175889
0.5388048,0.5762194,0.5717152,0.5279158,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4476366,0.4134873,0.4314145,0.4308129,0.4080988,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.34265,3.376216
0.5388048,0.5762194,0.5717152,0.5313774,0.4975913,0.5266653,0.5231501,0.4879575,0.4549735,0.4782891,0.4758098,0.4537721,0.4134873,0.4314145,0.4308129,0.415355,0.3749748,0.3899824,0.3890781,0.3686866,0.3391758,0.3520108,0.3490047,0.4627192,3.576213
0.5388048,0.5762194,0.5717152,0.5449958,0.4975913,0.5266653,0.5231501,0.4932969,0.4549735,0.4782891,0.4758098,0.5269604,0.4134873,0.4314145,0.4308129,0.492712,0.3749748,0.3899824,0.3890781,0.3816678,0.3391758,0.3520108,0.3490047,0.4774182,3.776214
0.5388048,0.5762194,0.5717152,0.5958308,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.5385045,0.4134873,0.4314145,0.4308129,0.492712,0.3749748,0.3899824,0.3890781,0.5002216,0.3391758,0.3520108,0.3490047,0.4774182,3.976977
0.5388048,0.5762194,0.5717152,0.5957755,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.5269604,0.4134873,0.4314145,0.4308129,0.415355,0.3749748,0.3899824,0.3890781,0.5011498,0.3391758,0.3520108,0.3490047,0.4774182,4.176982
0.5388048,0.5762194,0.5717152,0.5958308,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.5175285,0.4134873,0.4314145,0.4308129,0.415355,0.3749748,0.3899824,0.3890781,0.5013557,0.3391758,0.3520108,0.3490047,0.4774182,4.37698
0.5388048,0.5762194,0.5717152,0.5958308,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.4547685,0.4134873,0.4314145,0.4308129,0.4691607,0.3749748,0.3899824,0.3890781,0.501349,0.3391758,0.3520108,0.3490047,0.4774182,4.57698
0.5388048,0.5762194,0.5747122,0.5958308,0.4975913,0.5266653,0.5231501,0.5612448,0.4549735,0.4782891,0.4758098,0.4497021,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.501214,0.3391758,0.3520108,0.3490047,0.4774182,4.776979
0.5388048,0.5762194,0.5747122,0.6124522,0.4975913,0.5266653,0.5231501,0.5487921,0.4549735,0.4782891,0.4758098,0.4486064,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5010832,0.3391758,0.3520108,0.3490047,0.4774182,4.976983
0.5388048,0.5762194,0.5969245,0.6204446,0.4975913,0.5266653,0.5231501,0.5489988,0.4549735,0.4782891,0.4758098,0.4538604,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5010832,0.3391758,0.3520108,0.3490047,0.4774182,5.176982
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5269604,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5010827,0.3391758,0.3520108,0.3490047,0.4774182,5.376984
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5385045,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5010827,0.3391758,0.3520108,0.3490047,0.4774182,5.576983
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5385045,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5010827,0.3391758,0.3520108,0.3490047,0.4774182,5.776984
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5385045,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5010827,0.3391758,0.3520108,0.3490047,0.4774182,5.976986
0.5388048,0.5762194,0.5717152,0.6204446,0.4975913,0.5266653,0.5231501,0.5908623,0.4549735,0.4782891,0.4758098,0.5609069,0.4134873,0.4314145,0.4308129,0.5316289,0.3749748,0.3899824,0.3890781,0.5010827,0.3391758,0.3520108,0.3490047,0.4774182,6.176977
