sensor1,sensor2,sensor3,sensor4,sensor5,sensor6,sensor7,sensor8,sensor9,sensor10,sensor11,sensor12,time
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.3686866,0.3733333
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4533727,0.4833768
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4533727,0.5833839
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4533727,0.683382
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4550426,0.7833855
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4550426,0.8833872
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4550426,0.9833818
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4550426,1.083967
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.4550426,1.184066
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.4033103,0.3899824,0.3890781,0.4359167,1.284062
0.5388048,0.5762194,0.5717152,0.5279158,0.4549735,0.4782891,0.4758098,0.4476366,0.4033103,0.3899824,0.3890781,0.4444881,1.384133
0.6285489,0.5775073,0.5717152,0.6204446,0.4549735,0.4782891,0.4758098,0.4476366,0.4612741,0.3899824,0.3890781,0.3686866,1.484132
0.6285489,0.6183026,0.5717152,0.6204446,0.4549735,0.4782891,0.4758098,0.4476366,0.3749748,0.3899824,0.3890781,0.3686866,1.584385
0.6285489,0.6301384,0.5717152,0.6204446,0.5663875,0.5837117,0.4758098,0.5609069,0.3749748,0.3899824,0.3890781,0.3686866,1.684392
0.6285489,0.6563773,0.583363,0.6204446,0.5663875,0.5365443,0.4758098,0.5609069,0.3749748,0.3899824,0.3890781,0.3686866,1.784388
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5837117,0.4758098,0.5609069,0.5069434,0.4945791,0.3890781,0.501244,1.884961
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5391666,0.4758098,0.5609069,0.5069434,0.5183116,0.3890781,0.5012925,1.984959
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5391666,0.4839131,0.5609069,0.5069434,0.4849099,0.3890781,0.5012925,2.084963
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5316698,0.4758098,0.5609069,0.5069434,0.5183116,0.3890781,0.5012925,2.185061
0.6285489,0.6563773,0.6530342,0.6204446,0.5663875,0.5070475,0.4758098,0.5609069,0.4133439,0.3899824,0.3890781,0.3927677,2.285136
0.6285489,0.5762194,0.5717152,0.6204446,0.4679663,0.4782891,0.4758098,0.4998727,0.3750879,0.3899824,0.3890781,0.3686866,2.385127
0.5388048,0.5762194,0.5717152,0.5279158,0.4828293,0.4782891,0.4758098,0.5306848,0.5020694,0.3899824,0.3890781,0.5011945,2.485137
0.6285489,0.5762194,0.5717152,0.6204446,0.5663875,0.4782891,0.4758098,0.5609069,0.5020694,0.3899824,0.3890781,0.5009763,2.58513
0.6285489,0.5762194,0.5717152,0.6204446,0.4828293,0.4782891,0.4758098,0.5609069,0.3749748,0.3899824,0.3890781,0.5003744,2.68514
0.5750568,0.5762194,0.5717152,0.6204446,0.4582382,0.4782891,0.4758098,0.5609069,0.3749748,0.3899824,0.3890781,0.5009763,2.785138
0.5388048,0.5762194,0.5717152,0.6112365,0.4848818,0.4782891,0.4758098,0.5609069,0.3935776,0.3899824,0.3890781,0.5012925,2.885243
0.6285489,0.5762194,0.5746344,0.6204446,0.4549735,0.4782891,0.4758098,0.4476366,0.4033103,0.3899824,0.3890781,0.4568021,2.985366
0.6285489,0.5762194,0.5721009,0.6204446,0.4549735,0.4782891,0.4758098,0.4998727,0.3749748,0.3899824,0.3890781,0.3686866,3.085848
