gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.6243000000000001,11.35,0.10829039661946023,2.8332843133014376,0.317,5.0,0.767,16.0
1,8,0.7033000000000001,12.65,0.04336254143843508,1.7684739183827392,0.617,10.0,0.767,16.0
2,12,0.7333999999999999,12.25,0.050017396973453164,1.6085707942145413,0.617,9.0,0.8,15.0
3,10,0.7550500000000001,12.45,0.047523125949373336,1.8834808201837365,0.633,9.0,0.8,16.0
4,15,0.7675500000000002,12.5,0.036291149058689236,1.8027756377319946,0.667,9.0,0.8,16.0
5,9,0.7833000000000001,12.85,0.03699878376379418,1.525614630239236,0.683,10.0,0.8,16.0
6,12,0.7950000000000003,12.5,0.024164022843889226,1.118033988749895,0.7,10.0,0.833,15.0
7,7,0.8041000000000003,12.55,0.02227083294356095,1.2439855304624732,0.733,11.0,0.85,15.0
8,13,0.8115500000000002,13.3,0.03298101726751313,1.307669683062202,0.733,12.0,0.85,15.0
9,15,0.8182,13.6,0.053171044751819566,1.7435595774162693,0.667,10.0,0.867,16.0
10,9,0.8390999999999998,14.0,0.024935717354830595,1.5491933384829668,0.75,11.0,0.867,16.0
11,17,0.8483500000000002,14.3,0.016769838997438224,1.5524174696260027,0.8,12.0,0.867,18.0
12,16,0.8543499999999999,15.1,0.026416424814876063,1.2609520212918495,0.75,12.0,0.867,17.0
13,15,0.8636000000000003,15.15,0.010200000000000008,0.7262919523166975,0.833,14.0,0.867,16.0
14,7,0.8661500000000002,14.7,0.003705064102009576,0.640312423743285,0.85,14.0,0.867,16.0
15,12,0.8670000000000003,14.35,3.3306690738754696e-16,0.9096702699330126,0.867,14.0,0.867,17.0
16,10,0.8670000000000003,14.15,3.3306690738754696e-16,0.6538348415311015,0.867,14.0,0.867,17.0
17,11,0.8486,14.0,0.052517996915343215,0.4472135954999579,0.65,13.0,0.867,15.0
18,12,0.8644500000000003,14.25,0.008108483212044045,0.8874119674649424,0.833,14.0,0.867,18.0
19,9,0.8670000000000003,14.05,3.3306690738754696e-16,0.21794494717703367,0.867,14.0,0.867,15.0
20,8,0.8670000000000003,14.05,3.3306690738754696e-16,0.21794494717703367,0.867,14.0,0.867,15.0
