gen,nevals,avg1,avg2,std1,std2,min1,min2,max1,max2
0,20,0.6858500000000001,11.35,0.1191793920944389,2.8332843133014376,0.35,5.0,0.85,16.0
1,8,0.7734500000000001,11.85,0.05974150567235479,1.8241436346954698,0.6,10.0,0.85,16.0
2,12,0.81005,11.35,0.03354321839060765,1.388344337691482,0.733,9.0,0.85,13.0
3,10,0.8183999999999999,11.6,0.03759175441503096,1.7999999999999998,0.7,8.0,0.85,15.0
4,15,0.8166999999999998,12.15,0.04344893554507406,1.1947803145348523,0.7,9.0,0.85,14.0
5,9,0.8316000000000001,11.95,0.03759175441503096,1.1169153951844337,0.717,9.0,0.85,13.0
6,12,0.8399999999999999,12.0,0.03314966063174705,1.3038404810405297,0.733,9.0,0.867,14.0
7,7,0.8483499999999999,11.65,0.01671907593140242,1.6209565077447328,0.783,9.0,0.867,14.0
8,13,0.8408999999999999,11.55,0.03484092421277024,1.8834808201837365,0.75,9.0,0.867,14.0
9,15,0.8450999999999999,11.05,0.024219620145658764,2.1788758569500923,0.767,9.0,0.867,15.0
10,9,0.8535,12.2,0.039700755660314585,2.0396078054371136,0.7,8.0,0.9,15.0
11,17,0.8718499999999999,13.0,0.013940139884520539,1.5491933384829668,0.85,9.0,0.9,15.0
12,16,0.8692000000000002,13.7,0.03812689339560726,1.3820274961085255,0.733,10.0,0.9,16.0
13,15,0.8916499999999999,13.9,0.012305588161481768,0.99498743710662,0.867,12.0,0.9,16.0
14,7,0.8983000000000001,13.5,0.005100000000000005,0.806225774829855,0.883,12.0,0.9,15.0
15,12,0.89915,12.8,0.0037050641020095762,0.812403840463596,0.883,12.0,0.9,15.0
16,10,0.9,12.1,0.0,0.3,0.9,12.0,0.9,13.0
17,11,0.8933500000000002,12.1,0.02062104507535932,0.43588989435406733,0.817,11.0,0.9,13.0
18,12,0.89915,12.25,0.003705064102009576,0.6224949798994366,0.883,12.0,0.9,14.0
19,9,0.9,12.05,0.0,0.21794494717703367,0.9,12.0,0.9,13.0
20,8,0.9,12.05,0.0,0.21794494717703367,0.9,12.0,0.9,13.0
