sensor1,sensor2,sensor3,sensor4,sensor5,label
0.5721295,0.6170323,0.6117547,0.5181707,0.5335963,0
0.4719549,0.6170323,0.6117547,0.3898419,0.4107104,0
0.4719549,0.6170323,0.6117547,0.3991471,0.4107104,0
0.4783323,0.6170323,0.6117547,0.3898419,0.4107104,0
0.4719549,0.6170323,0.6117547,0.3898419,0.4198399,0
0.4719549,0.6170323,0.6117547,0.3898419,0.4107104,0
0.4719549,0.6170323,0.6117547,0.3898419,0.4131961,0
0.4719549,0.6170323,0.6117547,0.4025319,0.4107104,0
0.5790387,0.5374126,0.6117547,0.3898419,0.4107104,0
0.4719549,0.6170323,0.6117547,0.3898419,0.4695162,0
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.47214,0.6170323,0.6117547,0.4379767,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.5790387,0.6170323,0.6117547,0.5181707,0.5335963,1
0.4719549,0.5232595,0.6117547,0.5181707,0.4107104,2
0.4719549,0.5232595,0.6117547,0.4346109,0.4107104,2
0.4719549,0.5232595,0.6117547,0.5181707,0.4107104,2
0.4719549,0.5232595,0.6117547,0.5181707,0.4107104,2
0.4719549,0.5232595,0.6117547,0.4787642,0.4107104,2
0.4719549,0.5232595,0.6117547,0.3991471,0.4107104,2
0.4719549,0.5232595,0.6117547,0.4752459,0.4107104,2
0.4719549,0.5232595,0.6117547,0.4700926,0.4107104,2
0.4719549,0.5232595,0.6117547,0.4787642,0.4107104,2
0.4719549,0.5232595,0.6117547,0.4025319,0.4107104,2
0.4719549,0.6170323,0.6117547,0.3898419,0.5335963,3
0.4719549,0.6170323,0.5174174,0.3898419,0.5335963,3
0.4719549,0.6170323,0.6117547,0.3898419,0.5335963,3
0.4719549,0.6170323,0.5161573,0.3898419,0.4198399,3
0.4719549,0.6170323,0.6117547,0.3898419,0.5335963,3
0.4719549,0.6170323,0.5608655,0.3898419,0.5335963,3
0.4719549,0.6170323,0.5177597,0.3898419,0.5335963,3
0.4719549,0.6170323,0.6117547,0.3898419,0.5335963,3
0.4719549,0.6170323,0.6117547,0.3898419,0.5335963,3
0.4719549,0.6170323,0.5161573,0.3898419,0.4800979,3
0.5790387,0.6170323,0.5262928,0.3991471,0.5335963,4
0.5790387,0.5581076,0.5165084,0.3898419,0.5335963,4
0.5790387,0.6170323,0.5173628,0.3898419,0.5335963,4
0.5790387,0.6170323,0.5266674,0.3898419,0.5335963,4
0.5790387,0.6170323,0.5266674,0.3898419,0.5335963,4
0.5790387,0.6170323,0.5262928,0.3991471,0.5335963,4
0.5790387,0.6170323,0.5173628,0.3898419,0.5335963,4
0.5790387,0.5232595,0.5161573,0.4752459,0.4647399,4
0.5790387,0.6170323,0.5173628,0.3898419,0.5335963,4
0.5790387,0.6170323,0.5266674,0.404205,0.5335963,4
0.496897,0.5232595,0.5197862,0.5181707,0.4107104,5
0.496897,0.5232595,0.5161573,0.5181707,0.4107104,5
0.4719549,0.5232595,0.5161573,0.5181707,0.4107104,5
0.4783323,0.5232595,0.5161573,0.5181707,0.4128831,5
0.4991471,0.5232595,0.5161573,0.5181707,0.4132237,5
0.4719549,0.5232595,0.5161573,0.5181707,0.4132237,5
0.4905265,0.5232595,0.5161573,0.5181707,0.4132237,5
0.4719549,0.5232595,0.5161573,0.5181707,0.4132237,5
0.496897,0.5232595,0.5161573,0.5181707,0.4132237,5
0.5055324,0.5232595,0.5161573,0.5181707,0.4115002,5
