sensor1,sensor2,sensor3,sensor4,sensor5,label
0.7192765,0.6089042,0.6129521,0.5174532,0.3936733,0
0.6609067,0.512206,0.5177492,0.38908,0.3919759,0
0.6609067,0.5513698,0.5790316,0.38908,0.3936733,0
0.7192765,0.6089042,0.5858346,0.38908,0.3926008,0
0.7192765,0.6089042,0.6129521,0.3896535,0.3919759,0
0.7192765,0.6089042,0.6129521,0.38908,0.4863846,0
0.7192765,0.6089042,0.5858346,0.4002379,0.3919759,0
0.6609067,0.6089042,0.5177492,0.38908,0.3919759,0
0.6609067,0.512206,0.5177492,0.4002379,0.3919759,0
0.7192765,0.6089042,0.5673448,0.486852,0.3919759,0
0.7192765,0.6089042,0.6129521,0.38908,0.3919759,1
0.7192765,0.6089042,0.6129521,0.38908,0.4961612,1
0.7192765,0.6089042,0.6129521,0.4016841,0.5198112,1
0.7192765,0.6089042,0.6129521,0.38908,0.3919759,1
0.7192765,0.6089042,0.6129521,0.38908,0.3919759,1
0.7192765,0.6089042,0.6129521,0.4010084,0.5132598,1
0.7192765,0.6089042,0.6129521,0.38908,0.3978928,1
0.7192765,0.6089042,0.6129521,0.38908,0.3919759,1
0.7192765,0.6089042,0.6129521,0.38908,0.3978928,1
0.7192765,0.6089042,0.6129521,0.5174532,0.5198112,1
0.7192765,0.512206,0.6129521,0.3896535,0.3919759,2
0.7192765,0.512206,0.6129521,0.4034588,0.3919759,2
0.7192765,0.512206,0.6129521,0.38908,0.3919759,2
0.7192765,0.512206,0.6129521,0.4443039,0.3919759,2
0.7192765,0.512206,0.6129521,0.3943219,0.3919759,2
0.7192765,0.512206,0.6129521,0.3983626,0.3919759,2
0.7192765,0.512206,0.6129521,0.38908,0.3919759,2
0.7192765,0.512206,0.5809137,0.4410867,0.3919759,2
0.7192765,0.512206,0.6129521,0.3896535,0.3919759,2
0.7192765,0.512206,0.5809137,0.5174532,0.3919759,2
0.7192765,0.6089042,0.5177492,0.38908,0.3932276,3
0.7192765,0.6089042,0.5177492,0.38908,0.4126558,3
0.7192765,0.6089042,0.5177492,0.38908,0.3919759,3
0.7192765,0.6089042,0.5177492,0.38908,0.5198112,3
0.7192765,0.6089042,0.5177492,0.38908,0.3919759,3
0.7192765,0.6089042,0.5177492,0.38908,0.3923266,3
0.7192765,0.6089042,0.5177492,0.38908,0.3919759,3
0.7192765,0.6089042,0.5177492,0.38908,0.3919759,3
0.7192765,0.6089042,0.5177492,0.38908,0.3919759,3
0.7192765,0.6089042,0.5177492,0.38908,0.4868012,3
0.6609067,0.6089042,0.5177492,0.4002379,0.3924801,4
0.6609067,0.6089042,0.5177492,0.4811741,0.3923266,4
0.6609067,0.6089042,0.5177492,0.4002379,0.3919759,4
0.6617095,0.6089042,0.5177492,0.4002379,0.3926008,4
0.6609067,0.6089042,0.5177492,0.4002379,0.3926008,4
0.6609067,0.6089042,0.5177492,0.3938039,0.3936733,4
0.6609067,0.6089042,0.5177492,0.4002379,0.3926008,4
0.6609067,0.512206,0.5177492,0.3997132,0.3919759,4
0.6609067,0.6089042,0.5177492,0.4002379,0.3926008,4
0.6609067,0.6089042,0.5177492,0.3938039,0.3932276,4
0.6609067,0.512206,0.6129521,0.3994808,0.3926008,5
0.6609067,0.512206,0.6129521,0.3896535,0.4464197,5
0.6609067,0.512206,0.6129521,0.3896535,0.4464197,5
0.6609067,0.512206,0.6129521,0.3896535,0.4405185,5
0.6609067,0.512206,0.6129521,0.38908,0.4464197,5
0.6609067,0.512206,0.6129521,0.3994808,0.4127423,5
0.6609067,0.512206,0.6129521,0.3943219,0.4405185,5
0.6609067,0.512206,0.6129521,0.3943219,0.4405185,5
0.6609067,0.512206,0.6129521,0.3943219,0.4405185,5
0.6609067,0.512206,0.6129521,0.3943219,0.4405185,5
