sensor1,sensor2,sensor3,sensor4,sensor5,label
0.6788775,0.4296091,0.5982285,0.5364094,0.6786346,0
0.6788775,0.4296091,0.5982285,0.4241041,0.6786346,0
0.6788775,0.502396,0.507491,0.4241041,0.6786346,0
0.6788775,0.5474963,0.5981923,0.4241092,0.6786346,0
0.6788775,0.4296091,0.5982285,0.4241041,0.6786346,0
0.6788775,0.4318874,0.5703418,0.4241041,0.6786346,0
0.6788775,0.4296091,0.5982285,0.4241041,0.6786346,0
0.6788775,0.4611211,0.5180889,0.4241041,0.6786346,0
0.6788775,0.4296091,0.49786,0.4241041,0.6510587,0
0.6788775,0.4296091,0.5982285,0.4241041,0.6786346,0
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.4296091,0.5982285,0.513519,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6788775,0.5474963,0.5982285,0.54353,0.6786346,1
0.6066049,0.4296091,0.49786,0.4254409,0.6786346,2
0.6066049,0.4296091,0.49786,0.4241041,0.6786346,2
0.6066049,0.4316543,0.49786,0.5410653,0.6786346,2
0.6066049,0.4296091,0.49786,0.4241041,0.6786346,2
0.6066049,0.4296091,0.49786,0.4241041,0.6786346,2
0.6066049,0.4296091,0.49786,0.4241041,0.6786346,2
0.6066049,0.4296091,0.49786,0.4241041,0.6786346,2
0.6066049,0.4992747,0.49786,0.4241041,0.6786346,2
0.6066049,0.4296091,0.49786,0.4241041,0.6786346,2
0.6066049,0.4307476,0.49786,0.4241041,0.6786346,2
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4591044,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6788775,0.429683,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6788775,0.4296091,0.5982285,0.4241041,0.6062756,3
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.49786,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.5474963,0.5982285,0.4241041,0.6062756,4
0.6066049,0.4611211,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.608425,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
0.6066049,0.4296091,0.49786,0.54353,0.6062756,5
