sensor1,sensor2,sensor3,sensor4,sensor5,label
0.736274,0.5850786,0.5758141,0.392731,0.3915808,0
0.736274,0.6629119,0.6548344,0.5202094,0.4599485,0
0.736274,0.6088392,0.6560758,0.4293389,0.3915808,0
0.736274,0.662343,0.6553743,0.5202094,0.5195383,0
0.736274,0.6629119,0.6560758,0.392731,0.3915808,0
0.7363302,0.662343,0.6168579,0.5202094,0.5195383,0
0.736274,0.6629119,0.6560758,0.392731,0.4982586,0
0.736274,0.5850786,0.5758141,0.392731,0.3915808,0
0.736274,0.5850786,0.5758141,0.392731,0.4558141,0
0.7604526,0.662343,0.6168579,0.392731,0.3915808,0
0.77488,0.6629119,0.6560758,0.5202094,0.4966765,1
0.77488,0.6629119,0.6560758,0.5202094,0.5195383,1
0.77488,0.6629119,0.6560758,0.5202094,0.5195383,1
0.77488,0.6629119,0.6560758,0.4745509,0.3915808,1
0.77488,0.6629119,0.6560758,0.3938677,0.3915808,1
0.77488,0.6629119,0.6560758,0.5202094,0.5195383,1
0.77488,0.6629119,0.6560758,0.5202094,0.5195383,1
0.77488,0.6629119,0.6560758,0.392731,0.3915808,1
0.77488,0.6629119,0.6560758,0.5202094,0.5195383,1
0.77488,0.6629119,0.6560758,0.5202094,0.5195383,1
0.736274,0.5850786,0.5994812,0.5017621,0.3915808,2
0.736274,0.5850786,0.5775257,0.3976669,0.3915808,2
0.736274,0.5850786,0.5976307,0.4081548,0.3915808,2
0.736274,0.5850786,0.5976307,0.392731,0.3915808,2
0.736274,0.5850786,0.5976307,0.3976669,0.3915808,2
0.736274,0.5850786,0.5775257,0.392731,0.4781634,2
0.7363613,0.5850786,0.5976307,0.41017,0.4450363,2
0.736274,0.5850786,0.5758141,0.392731,0.4253766,2
0.736274,0.5850786,0.5775257,0.5028017,0.3956894,2
0.736274,0.5850786,0.5758141,0.392731,0.3915808,2
0.7449655,0.6629119,0.5758141,0.392731,0.4527196,3
0.736274,0.6600032,0.5758141,0.392731,0.4212957,3
0.77488,0.6629119,0.5758141,0.4139814,0.3915808,3
0.736274,0.5850786,0.5758141,0.392731,0.3915808,3
0.77488,0.6629119,0.5758141,0.392731,0.3915808,3
0.7363395,0.6629119,0.5758141,0.393704,0.4398723,3
0.7449655,0.6629119,0.5758141,0.392731,0.3929547,3
0.77488,0.6629119,0.5758141,0.3968673,0.3929547,3
0.7449655,0.6629119,0.5758141,0.392731,0.4083458,3
0.736274,0.5972558,0.5758141,0.392731,0.3917994,3
0.736274,0.6027194,0.5758141,0.5202094,0.3915808,4
0.736274,0.6027194,0.5758141,0.5202094,0.3935106,4
0.736274,0.628649,0.5758141,0.5202094,0.3935106,4
0.736274,0.6027194,0.5758141,0.5202094,0.3935106,4
0.736274,0.5905524,0.5758141,0.5202094,0.3935106,4
0.736274,0.5850786,0.5758141,0.5202094,0.3915808,4
0.736274,0.5852033,0.5758141,0.5202094,0.3935106,4
0.736274,0.6027194,0.5758141,0.5202094,0.3915808,4
0.736274,0.5905524,0.5758141,0.5202094,0.3935106,4
0.736274,0.5850786,0.5758141,0.5202094,0.3915808,4
0.736274,0.5850786,0.5758141,0.392731,0.5195383,5
0.736274,0.5850786,0.5758141,0.392731,0.5195383,5
0.736274,0.5850786,0.5820925,0.392731,0.5195383,5
0.736274,0.5850786,0.5838303,0.392731,0.5195383,5
0.736274,0.5850786,0.5758141,0.392731,0.5195383,5
0.736274,0.5850786,0.5758141,0.392731,0.5195383,5
0.736274,0.5850786,0.5778291,0.392731,0.5195383,5
0.736274,0.5850786,0.5758141,0.392731,0.5195383,5
0.736274,0.5850786,0.5778291,0.392731,0.5195383,5
0.736274,0.5850786,0.5758141,0.392731,0.5195383,5
