sensor1,sensor2,sensor3,sensor4,sensor5,label
0.6686468,0.678286,0.5363038,0.4506218,0.4452521,0
0.5928857,0.6057886,0.4143458,0.4506218,0.4434926,0
0.6120352,0.6057886,0.4601873,0.4506218,0.4434658,0
0.6686468,0.6173844,0.4213001,0.4506218,0.4434658,0
0.6686468,0.678286,0.5363038,0.4506218,0.4434658,0
0.6686468,0.6331085,0.4143458,0.4506218,0.4434658,0
0.6686468,0.6173844,0.5363038,0.4506218,0.4434658,0
0.6120352,0.6057886,0.4725796,0.4506218,0.4434658,0
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,0
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,0
0.6686468,0.678286,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4530996,0.5578592,1
0.6686468,0.6057886,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4506218,0.5578592,1
0.6686468,0.678286,0.5363038,0.4530996,0.5578592,1
0.5928857,0.6057886,0.4143458,0.4506218,0.5262064,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4434658,2
0.5928857,0.6057886,0.4143458,0.4506218,0.5578592,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4774196,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4611125,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4434658,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4452521,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4434658,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4452521,2
0.5928857,0.6057886,0.4143458,0.4506218,0.4434658,2
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,3
0.6251048,0.6057886,0.5363038,0.4506218,0.4434658,3
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,3
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,3
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,3
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,3
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,3
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,3
0.6686468,0.6057886,0.5363038,0.4506218,0.4434658,3
0.5961665,0.6057886,0.5363038,0.4506218,0.4434658,3
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.4143458,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.5363038,0.4506218,0.4434658,4
0.5928857,0.6057886,0.4157872,0.4506218,0.5578592,5
0.5928857,0.6057886,0.4897396,0.4506218,0.5578592,5
0.5928857,0.6057886,0.4897396,0.4506218,0.5578592,5
0.5928857,0.6057886,0.5363038,0.4506218,0.5578592,5
0.5928857,0.6057886,0.5363038,0.4506218,0.5578592,5
0.5928857,0.6057886,0.5363038,0.4506218,0.5578592,5
0.5928857,0.6057886,0.5363038,0.4506218,0.5578592,5
0.5928857,0.6057886,0.5363038,0.4506218,0.5578592,5
0.5928857,0.6057886,0.5363038,0.4506218,0.5578592,5
0.5928857,0.6057886,0.5363038,0.4506218,0.5578592,5
