sensor1,sensor2,sensor3,sensor4,sensor5,label
0.6980662,0.7086702,0.5635715,0.5712682,0.6966036,0
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,0
0.6980662,0.7086702,0.5635715,0.5712682,0.6966036,0
0.6980662,0.7086702,0.5635715,0.5712682,0.6966036,0
0.6981029,0.7086702,0.5635715,0.5712682,0.6966036,0
0.699959,0.668755,0.5635715,0.5712682,0.6966036,0
0.7116681,0.7086702,0.5635715,0.4888572,0.6966036,0
0.6980662,0.7086702,0.5635715,0.5712682,0.6966036,0
0.6980662,0.7086702,0.5635715,0.4616888,0.6966036,0
0.7120076,0.7086702,0.5635715,0.4888572,0.6896479,0
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7464751,0.7086702,0.5635715,0.5712682,0.6966036,1
0.7128687,0.6467928,0.4512156,0.5712682,0.6966036,2
0.6980662,0.6467928,0.4512156,0.5712682,0.6966036,2
0.6980662,0.6467928,0.4512156,0.5712682,0.6966036,2
0.698981,0.6471239,0.4512156,0.5712682,0.6966036,2
0.6980662,0.6467928,0.4512156,0.5712682,0.6966036,2
0.6985148,0.6467928,0.4512156,0.5712682,0.6966036,2
0.7464751,0.6467928,0.4512156,0.5712682,0.6966036,2
0.6980662,0.6467928,0.4512156,0.5712682,0.6966036,2
0.7128687,0.6467928,0.4512156,0.5712682,0.6966036,2
0.6981029,0.6467928,0.4512156,0.5712682,0.6966036,2
0.7464751,0.7086702,0.5635715,0.4616213,0.6305296,3
0.7031189,0.7086702,0.5635715,0.4616213,0.6305296,3
0.7464751,0.7086702,0.5635715,0.4616213,0.6305296,3
0.6980662,0.7086702,0.5635715,0.4616213,0.6305296,3
0.7464751,0.7086702,0.5635715,0.4616213,0.6305296,3
0.7464751,0.7086702,0.5635715,0.4616213,0.6305296,3
0.7464751,0.7086702,0.5635715,0.4616213,0.6305296,3
0.7464751,0.7086702,0.5635715,0.4616213,0.6330656,3
0.7464751,0.7086702,0.5635715,0.4616213,0.6305296,3
0.7367862,0.7086702,0.5635715,0.4616213,0.6305296,3
0.6980662,0.6467928,0.5635715,0.4616888,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616888,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616213,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616213,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616213,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616888,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616213,0.6305296,4
0.6980662,0.6467928,0.4516321,0.5004234,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616213,0.6305296,4
0.6980662,0.6467928,0.5635715,0.4616888,0.6305296,4
0.6980662,0.6467928,0.4531133,0.5712682,0.6305296,5
0.6980662,0.6467928,0.4720778,0.5712682,0.6305296,5
0.6980662,0.6467928,0.4720778,0.5712682,0.6305296,5
0.6980662,0.6467928,0.5517365,0.5712682,0.6305296,5
0.6980662,0.6467928,0.5635715,0.5712682,0.6305296,5
0.6980662,0.6467928,0.5635715,0.5712682,0.6305296,5
0.6980662,0.6467928,0.558571,0.5712682,0.6305296,5
0.6980662,0.6467928,0.5635715,0.5712682,0.6305296,5
0.6980662,0.6467928,0.5635715,0.5712682,0.6305296,5
0.6980662,0.6467928,0.5539731,0.5712682,0.6305296,5
