sensor1,sensor2,sensor3,sensor4,sensor5,label
0.5064792,0.6725339,0.5113193,0.5595852,0.5364181,0
0.5064792,0.6725339,0.3804279,0.5640219,0.6212592,0
0.4075971,0.6725339,0.4015659,0.5906924,0.5407653,0
0.5064792,0.6725339,0.3804279,0.6344821,0.6212592,0
0.5064792,0.6725339,0.3804279,0.634486,0.6212592,0
0.3922601,0.6725339,0.5079123,0.634486,0.6212592,0
0.5064792,0.6828104,0.3804279,0.6344821,0.6212592,0
0.5064792,0.6725339,0.3804279,0.5467333,0.6080739,0
0.5064792,0.6725339,0.3804279,0.5467333,0.5288728,0
0.5064792,0.6833689,0.3804279,0.5906924,0.6212592,0
0.3740213,0.7276372,0.3804279,0.634486,0.6212592,1
0.3740213,0.7276372,0.3804279,0.634486,0.6212592,1
0.3799244,0.7276372,0.4244416,0.634486,0.6212592,1
0.3740213,0.7276372,0.3804279,0.634486,0.6212592,1
0.3740213,0.7276372,0.3804279,0.634486,0.6212592,1
0.3799244,0.7276372,0.3804279,0.634486,0.6212592,1
0.3740213,0.7276372,0.3804279,0.634486,0.6212592,1
0.433505,0.7276372,0.3804279,0.634486,0.6212592,1
0.3740213,0.7276372,0.3804279,0.634486,0.6212592,1
0.5064792,0.7276372,0.5113193,0.634486,0.6212592,1
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,2
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,2
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,2
0.480409,0.6725339,0.3804279,0.634486,0.5288728,2
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,2
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,2
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,2
0.5064792,0.6725339,0.3804279,0.5769479,0.5288728,2
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,2
0.4265502,0.6725339,0.3804279,0.5769479,0.5288728,2
0.3740213,0.6725339,0.4222873,0.5467333,0.6212592,3
0.3740213,0.6725339,0.4267158,0.5467333,0.6212592,3
0.3740213,0.7276372,0.3804279,0.5467333,0.6212592,3
0.3740213,0.6725339,0.5113193,0.5467333,0.6212592,3
0.3740213,0.6759387,0.3804279,0.5467333,0.6212592,3
0.3740213,0.6725339,0.397196,0.5467333,0.6212592,3
0.3740213,0.6725339,0.3804279,0.5467333,0.6212592,3
0.3740213,0.6792248,0.3804279,0.5467333,0.6212592,3
0.3740213,0.6725339,0.3855301,0.5467333,0.6212592,3
0.3740213,0.6725339,0.5113193,0.5467333,0.6212592,3
0.5064792,0.6725339,0.3804279,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3804279,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3804279,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3854747,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3854747,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3971471,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3854747,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3804279,0.5467333,0.5288728,4
0.5064792,0.6725339,0.3854747,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3971471,0.5467333,0.6212592,4
0.5064792,0.6725339,0.3804279,0.634486,0.5288728,5
0.5064792,0.6725339,0.4015659,0.634486,0.5288728,5
0.5064792,0.6725339,0.4015659,0.634486,0.5288728,5
0.4380486,0.6725339,0.4015659,0.634486,0.5288728,5
0.5064792,0.6725339,0.4015659,0.634486,0.5288728,5
0.4384508,0.6725339,0.3966181,0.634486,0.5288728,5
0.4900254,0.6725339,0.4015659,0.634486,0.5288728,5
0.4383891,0.6725339,0.4015659,0.634486,0.5288728,5
0.5064792,0.6725339,0.4015659,0.634486,0.5288728,5
0.5064792,0.6725339,0.4015659,0.634486,0.5288728,5
