sensor1,sensor2,sensor3,label
0.5412798,0.5175267,0.6864686,0
0.42104,0.5175267,0.6864686,0
0.5412798,0.3891535,0.6864686,0
0.5412798,0.3891624,0.6864686,0
0.5412798,0.3891535,0.6864686,0
0.5412798,0.3891535,0.6864686,0
0.5412798,0.3891535,0.6864686,0
0.5412798,0.3891535,0.6864686,0
0.5412798,0.3891535,0.6864686,0
0.5412798,0.3891535,0.6864686,0
0.5412798,0.5175267,0.7383118,1
0.5412798,0.5175267,0.7383118,1
0.5412798,0.5175267,0.7383118,1
0.5412798,0.5175267,0.7383118,1
0.5412798,0.4042107,0.7383118,1
0.5412798,0.5175267,0.7383118,1
0.5412798,0.5175267,0.7383118,1
0.5412798,0.3891535,0.7383118,1
0.5412798,0.5175267,0.7383118,1
0.5412798,0.5175267,0.7383118,1
0.4209636,0.3986623,0.7383118,2
0.4209636,0.3891535,0.6864686,2
0.5412798,0.5175267,0.7383118,2
0.4209636,0.3901844,0.7383118,2
0.4209636,0.3891535,0.7383118,2
0.4209636,0.3891535,0.7383118,2
0.4209636,0.3891535,0.7383118,2
0.5412798,0.3891535,0.6864686,2
0.4209636,0.3891535,0.689922,2
0.4405824,0.3891535,0.7051249,2
0.5412798,0.3891535,0.7052562,3
0.5412798,0.3891535,0.7052562,3
0.5412798,0.3891535,0.7383118,3
0.5412798,0.3891535,0.6864686,3
0.5412798,0.3891535,0.7383118,3
0.5412798,0.3891535,0.7383118,3
0.5412798,0.3891535,0.7383118,3
0.5412798,0.3891535,0.7383118,3
0.5412798,0.3891624,0.6864686,3
0.5412798,0.3891535,0.7052562,3
0.5412798,0.3891535,0.6864686,4
0.4209636,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.3891535,0.6864686,4
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
0.5412798,0.5175267,0.6864686,5
