sensor1,sensor2,sensor3,sensor4,sensor5,label
0.516859,0.6963884,0.5736815,0.426005,0.4914626,0
0.5073807,0.6963884,0.4677154,0.5395215,0.4262586,0
0.516859,0.6963884,0.5736815,0.5117084,0.4262586,0
0.516859,0.6965765,0.5736815,0.5395215,0.4262586,0
0.516859,0.7456261,0.5736815,0.4188527,0.4262586,0
0.516859,0.7101328,0.5736815,0.4253219,0.4503126,0
0.516859,0.7456261,0.5736815,0.426005,0.4262586,0
0.516859,0.6963884,0.5736815,0.500264,0.4262586,0
0.516859,0.6963884,0.5736815,0.4415699,0.4262586,0
0.516859,0.7456261,0.5736815,0.4188527,0.4262586,0
0.516859,0.7456261,0.5736815,0.5395215,0.5450159,1
0.516859,0.7456261,0.5736815,0.5395215,0.5450159,1
0.516859,0.7456261,0.5736815,0.5395215,0.5450159,1
0.516859,0.7456261,0.5736815,0.5229351,0.4486609,1
0.516859,0.7456261,0.5736815,0.4230386,0.4262586,1
0.516859,0.7456261,0.5736815,0.5395215,0.5450159,1
0.516859,0.7456261,0.5736815,0.5395215,0.5450159,1
0.516859,0.7456261,0.5736815,0.4188527,0.4262586,1
0.516859,0.7456261,0.5736815,0.5395215,0.5450159,1
0.516859,0.7456261,0.5736815,0.5395215,0.5450159,1
0.5168482,0.7456261,0.5736815,0.4188527,0.4262586,2
0.4950097,0.7456261,0.5736815,0.4201001,0.4262586,2
0.4069803,0.6963884,0.5736815,0.4371985,0.4262586,2
0.4226529,0.7456261,0.5736815,0.4306016,0.4262586,2
0.4305474,0.7055991,0.5736815,0.4201001,0.4262586,2
0.516859,0.7456261,0.5736815,0.4188527,0.4262586,2
0.516859,0.7456261,0.5736815,0.4188527,0.4262586,2
0.4274026,0.7055991,0.5736815,0.5395215,0.4262586,2
0.5168482,0.7456261,0.5736815,0.4188527,0.4262586,2
0.516859,0.7456261,0.5736815,0.4701709,0.4262586,2
0.516859,0.7456261,0.4647553,0.4188527,0.4262586,3
0.516859,0.7456261,0.4647553,0.4188527,0.4262586,3
0.516859,0.7456261,0.4854881,0.4189819,0.4262586,3
0.516859,0.7456261,0.4647553,0.4188527,0.4264557,3
0.516859,0.7456261,0.4680248,0.4188527,0.4262586,3
0.516859,0.7456261,0.4647553,0.4188527,0.4262586,3
0.516859,0.7456261,0.4647553,0.4188527,0.4262586,3
0.516859,0.7456261,0.5667744,0.4188527,0.4262586,3
0.516859,0.7456261,0.4914773,0.4188527,0.4262586,3
0.516859,0.7456261,0.4647553,0.4188527,0.4262586,3
0.4918334,0.6963884,0.5736815,0.5395215,0.4262586,4
0.516859,0.6963884,0.5736815,0.5395215,0.4262586,4
0.4312818,0.6992683,0.5413185,0.5395215,0.4262586,4
0.516859,0.6992683,0.5413185,0.5395215,0.4262586,4
0.516859,0.6965765,0.5736815,0.5395215,0.4262586,4
0.516859,0.6963884,0.5736815,0.5395215,0.4262586,4
0.516859,0.6963884,0.5736815,0.5395215,0.4262586,4
0.516859,0.6963884,0.5736815,0.5395215,0.4262586,4
0.516859,0.6965765,0.5556426,0.5395215,0.4262586,4
0.516859,0.6963884,0.5736815,0.5395215,0.4262586,4
0.516859,0.6963884,0.5736815,0.5227111,0.4262586,5
0.516859,0.6963884,0.5736815,0.4293694,0.4503126,5
0.516859,0.6963884,0.5736815,0.4293694,0.4503126,5
0.516859,0.6963884,0.5736815,0.4236862,0.4502582,5
0.516859,0.6963884,0.5736815,0.426005,0.4503126,5
0.516859,0.6963884,0.5736815,0.4188527,0.4262586,5
0.516859,0.6963884,0.5736815,0.4188527,0.4502582,5
0.516859,0.6963884,0.5736815,0.4188527,0.4438046,5
0.516859,0.6963884,0.5736815,0.4203764,0.4503126,5
0.516859,0.6963884,0.5736815,0.4293694,0.4502582,5
